trade_id,logged_at,ticker,timeframe,asset_type,trade_source,entry_price_idr,sl_raw_idr,tp1_raw_idr,tp2_raw_idr,position_size_idr,score,regime,confidence,counter_trend_valid,component_trend,component_momentum,component_volume,component_structure,status,closed_at,exit_price_idr,exit_reason,r_multiple,mae_r,mfe_r,bars_to_outcome,net_r_multiple,last_checked_at
BICO_20260827055150127232,2026-08-27 05:51:50,BICO,1H,crypto,SYSTEM,520.0209,448.77811112441185,591.2636888755881,662.5064777511762,,6,TRENDING_UP,C — Low conviction,False,0.6548357900338919,-0.6943016045852322,1.0,0.0,CLOSED,2026-08-27 16:33:41,448.77811112441185,LOSS - SL HIT,-1.00,-1.17,0.22,10,,
SOL_20260827055152093309,2026-08-27 05:51:52,SOL,1H,crypto,SYSTEM,1805977.8,1760579.71752954,1851375.8824704601,1896773.9649409202,,5,TRENDING_UP,C — Low conviction,False,0.790972979998641,-0.43079039064995034,1.0,-1.0,CLOSED,2026-08-27 16:33:41,1851375.8824704601,WIN - TP1 HIT,1.00,-0.42,1.21,3,,
LINK_20260827055153197489,2026-08-27 05:51:53,LINK,1H,crypto,SYSTEM,205827.57,201425.14285832993,210229.9971416701,214632.42428334014,,3,TRENDING_UP,D — Very low conviction,False,0.42304416673979583,-0.3183143835389273,1.0,-1.0,CLOSED,2026-08-27 16:33:41,210229.9971416701,WIN - TP1 HIT,1.00,-0.36,1.09,3,,
ADA_20260827055154585310,2026-08-27 05:51:54,ADA,1H,crypto,SYSTEM,3716.208,3618.285587087017,3814.130412912983,3912.052825825966,,2,RANGING,D — Very low conviction,False,-0.467687270241714,-0.06518118640987074,-1.0,1.0,CLOSED,2026-08-27 16:33:42,3814.130412912983,WIN - TP1 HIT,1.00,-0.25,1.10,3,,
XRP_20260827163418427110,2026-08-27 16:34:18,XRP,1H,crypto,SYSTEM,26055.823,25337.635649027052,26774.01035097295,27492.197701945894,,8,TRENDING_UP,A — High conviction,False,0.5929721609046975,-0.6585854733713918,1.0,1.0,CLOSED,2026-08-28 04:14:17,25337.635649027052,LOSS - SL HIT,-1.00,-1.20,0.00,10,,2026-08-27 16:44:31
ENA_20260827163419152974,2026-08-27 16:34:19,ENA,1H,crypto,SYSTEM,2984.6405,2781.4154438535597,3187.86555614644,3391.090612292881,,7,TRENDING_UP,B — Moderate conviction,False,0.7772707107504505,-0.6435112718006762,1.0,0.0,CLOSED,2026-08-28 04:14:17,3187.86555614644,WIN - TP1 HIT,1.00,-0.43,1.84,9,,2026-08-27 16:44:31
SOL_20260827163419924637,2026-08-27 16:34:19,SOL,1H,crypto,SYSTEM,1916723.73,1860938.8007264065,1972508.6592735935,2028293.588547187,,7,TRENDING_UP,B — Moderate conviction,False,0.8333333333333334,-0.6497299806245453,1.0,0.0,CLOSED,2026-08-31 09:52:03,1860938.8007264065,LOSS - SL HIT,-1.00,-1.15,0.78,18,,2026-08-28 08:49:47
TRUMP_20260827163421316349,2026-08-27 16:34:21,TRUMP,1H,crypto,SYSTEM,49224.426999999996,46587.930613742654,51860.92338625734,54497.41977251468,,6,TRENDING_UP,B — Moderate conviction,False,0.8687471159049787,-0.7853439311691771,1.0,0.0,CLOSED,2026-08-28 04:14:18,46587.930613742654,LOSS - SL HIT,-1.00,-1.36,0.00,1,,2026-08-27 16:44:31
BTC_20260827163422596848,2026-08-27 16:34:22,BTC,1H,crypto,SYSTEM,1423854191.1,1403899162.6597188,1443809219.540281,1463764247.9805622,,5,TRENDING_UP,C — Low conviction,False,0.762348004943917,-0.501922695411555,1.0,-1.0,CLOSED,2026-08-31 09:52:03,1443809219.540281,WIN - TP1 HIT,1.00,-0.53,1.01,9,,2026-08-28 08:49:47
BMRI_20260828041747699732,2026-08-28 04:17:47,BMRI,1H,stock,SYSTEM,4230.0,4185.585093456625,4274.414906543375,4318.829813086749,,3,SQUEEZE,D — Very low conviction,False,0.8248239915488425,-0.619371042815334,1.0,1.0,CLOSED,2026-08-31 09:52:12,4274.414906543375,WIN - TP1 HIT,1.00,-0.68,1.13,6,,2026-08-28 08:49:47
